name,L,max_abs,mean_abs,cosine,bitexact_frac,argmax_agree,torch_score,rust_score,score_absdiff
1UXO,186,2.8848648071289062e-05,3.874335106957005e-06,0.9999999999993521,0.043010752688172046,1.0,1.40909743309021,1.40909743309021,0.0
1WV3,186,2.9087066650390625e-05,3.975346317020012e-06,0.9999999999992998,0.03533026113671275,1.0,1.5744245052337646,1.5744240283966064,4.76837158203125e-07
1YB3,166,3.7670135498046875e-05,3.9534156712761614e-06,0.999999999999269,0.04561101549053356,1.0,1.4368629455566406,1.4368631839752197,2.384185791015625e-07
2HLV,149,2.9087066650390625e-05,4.434952643350698e-06,0.9999999999990927,0.041546820070310006,1.0,1.612683653831482,1.612683653831482,0.0
3CM0,184,2.6226043701171875e-05,3.762057303902111e-06,0.9999999999993915,0.042443064182194616,1.0,1.2410099506378174,1.2410097122192383,2.384185791015625e-07
3DQ5,233,3.838539123535156e-05,4.392856681079138e-06,0.9999999999991944,0.04005722460658083,1.0,0.9423798322677612,0.9423794746398926,3.5762786865234375e-07
3JZ9,197,3.0279159545898438e-05,4.251612608641153e-06,0.9999999999991732,0.03915881073241479,1.0,1.6641281843185425,1.664128303527832,1.1920928955078125e-07
4AVE,110,2.765655517578125e-05,4.12148074246943e-06,0.9999999999992523,0.0341991341991342,1.0,1.5800867080688477,1.580086588859558,1.1920928955078125e-07
4BCT,201,2.9087066650390625e-05,3.970524176111212e-06,0.9999999999993339,0.04619758351101635,0.9950248756218906,1.3344420194625854,1.3344428539276123,8.344650268554688e-07
4KHV,135,2.7894973754882812e-05,4.044277829962084e-06,0.9999999999992356,0.039858906525573196,1.0,1.4462097883224487,1.4462095499038696,2.384185791015625e-07
4O8H,164,3.0517578125e-05,4.4125654312665574e-06,0.9999999999991331,0.046167247386759584,1.0,1.1610114574432373,1.161010980606079,4.76837158203125e-07
5LOZ,154,2.7060508728027344e-05,3.5365537769393995e-06,0.9999999999993157,0.0287569573283859,1.0,1.718916654586792,1.718916893005371,2.384185791015625e-07
5O6Q,129,3.6716461181640625e-05,4.040057319798507e-06,0.9999999999993042,0.04466592838685862,1.0,1.2836940288543701,1.283693790435791,2.384185791015625e-07
6EKB,62,2.4557113647460938e-05,3.705021526911878e-06,0.9999999999993122,0.05069124423963134,1.0,1.8974934816360474,1.8974932432174683,2.384185791015625e-07
6F9Y,127,2.3126602172851562e-05,4.066474957653554e-06,0.9999999999993119,0.0412448443944507,1.0,1.2448996305465698,1.244898796081543,8.344650268554688e-07
6PBQ,152,4.076957702636719e-05,3.8095645322755445e-06,0.9999999999993386,0.046365914786967416,1.0,1.5092954635620117,1.5092960596084595,5.960464477539062e-07
7L6J,213,3.7670135498046875e-05,4.1747052819118835e-06,0.999999999999268,0.03778224904985469,1.0,1.3129361867904663,1.3129364252090454,2.384185791015625e-07
7NL3,249,3.147125244140625e-05,3.751559006559546e-06,0.9999999999993008,0.03346720214190094,1.0,1.6053918600082397,1.6053918600082397,0.0
7XND,184,2.8133392333984375e-05,3.7394624996522907e-06,0.9999999999993227,0.041407867494824016,1.0,1.6064611673355103,1.6064608097076416,3.5762786865234375e-07
7Z0D,230,2.8133392333984375e-05,4.192787400825182e-06,0.99999999999918,0.036231884057971016,1.0,1.6030981540679932,1.603097677230835,4.76837158203125e-07
